Question Type,qwen2-5-vl-3b,qwen2-5-vl-7b,qwen3-vl-4b,qwen3-vl-8b
obj_appearance_order,18.61,28.16,64.72,62.94
object_abs_distance,4.08,2.76,11.87,10.43
object_counting,18.23,20.35,52.92,54.34
object_rel_direction_easy,45.16,49.31,55.76,58.53
object_rel_direction_hard,31.37,27.35,34.32,40.21
object_rel_direction_medium,35.71,46.56,49.21,53.17
object_rel_distance,34.79,38.87,57.61,60.14
object_size_estimation,2.20,6.09,33.16,31.16
room_size_estimation,5.21,6.25,11.46,12.85
route_planning,26.80,29.90,33.51,29.90
